epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,413.048,0.98656,2.57977,1.10267,0.61972,0.91573,0.80927,0.49409,1.37344,2.51536,1.22508,0.000547247,0.000547247,0.000547247
2,826.301,0.81088,1.69537,0.95177,0.85414,0.69582,0.76258,0.56805,0.88915,1.95425,1.00181,0.000993726,0.000993726,0.000993726
3,1244.18,0.77286,1.40102,0.93883,0.50782,0.82106,0.8189,0.61616,0.85247,2.93925,0.94421,0.00133018,0.00133018,0.00133018
4,1701.6,0.70907,1.09926,0.90473,0.84349,0.85807,0.90479,0.62516,1.1081,1.09371,1.02229,0.0011719,0.0011719,0.0011719
5,2111.22,0.69835,0.96441,0.90131,0.87692,0.82301,0.92925,0.75005,0.79617,0.88942,0.89747,0.00100687,0.00100687,0.00100687
6,2526.01,0.64955,0.80559,0.89072,0.8468,0.92677,0.9418,0.74471,0.77581,0.76101,0.90282,0.000841835,0.000841835,0.000841835
7,2941.08,0.5937,0.70034,0.86012,0.86498,0.90044,0.96343,0.78436,0.77048,0.78213,0.88955,0.000676802,0.000676802,0.000676802
8,3363.82,0.58845,0.66671,0.86103,0.81159,0.87451,0.89369,0.69907,0.83888,0.86119,0.90775,0.000511769,0.000511769,0.000511769
9,3774.33,0.53551,0.60021,0.85167,0.91056,0.94035,0.95982,0.79707,0.70442,0.57785,0.86241,0.000346736,0.000346736,0.000346736
10,4187.99,0.50771,0.54962,0.83028,0.92758,0.93893,0.97027,0.82109,0.63513,0.52497,0.85364,0.000181703,0.000181703,0.000181703
